Nâng cấp bắt đầu: 16:11:14_10-07-2023
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/video/dialogs/video.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/plugins/video/images/placeholder.png | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie7.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_ie8.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/dialog_iequirks.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_gecko.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie7.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_ie8.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/editor_iequirks.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/icons.png | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/skins/moono/icons_hidpi.png | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/editors/ckeditor/styles.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/DOMPurify/purify.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/admin.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/chart/chart.esm.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/chart/chart.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/chart/chart.min.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/chart/chunks/helpers.segment.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/chart/helpers.esm.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/clipboard/clipboard.min.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/global.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/jquery/additional-methods.min.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/jquery/jquery.min.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/jquery/jquery.validate.min.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_444444_256x240.png | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_555555_256x240.png | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_777620_256x240.png | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_777777_256x240.png | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_cc0000_256x240.png | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/jquery-ui/images/ui-icons_ffffff_256x240.png | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/jquery-ui/jquery-ui.min.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/jquery-ui/jquery-ui.min.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/jquery-ui/jquery-ui.structure.min.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/jquery-ui/jquery-ui.theme.min.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/language/jquery.validator-fr.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/language/jquery.validator-vi.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/plyr/index.html | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/plyr/plyr.css | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/plyr/plyr.polyfilled.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/plyr/plyr.svg | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/site.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/js/upload.js | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file assets/tpl/rss.tpl | SUCCESS
16:11:37_10-07-2023 | ::1 | Di chuyển file composer.json | SUCCESS
